page_no,review_no,artist,album,genre,author,publish_date,bnm,cover_art,url
7,4,Pop Smoke,Meet the Woo Vol. 2,Rap,Reed Jackson,February 13 2020,No,https://media.pitchfork.com/photos/5e3dec51a42e4e000882e43c/1:1/w_160/Meet%20the%20Woo%20Vol.%202_Pop%20Smoke.jpg,/reviews/albums/pop-smoke-meet-the-woo-vol-2/
7,5,Navy Blue,ÃƒÆ’Ã‚â‚¬dÃƒÆ’Ã‚Â¡ Irin,Rap,Alphonse Pierre,February 12 2020,No,https://media.pitchfork.com/photos/5e3ddc1b20256b00096ba21a/1:1/w_160/A%CC%80da%CC%81%20Irin_Navy%20Blue.jpg,/reviews/albums/navy-blue-ada-irin/
7,6,Key Glock,Yellow Tape,Rap,Dean Van Nguyen,February 10 2020,No,https://media.pitchfork.com/photos/5e3462810e7e92000921e054/1:1/w_160/keyglock_yellowtape.png,/reviews/albums/key-glock-yellow-tape/
7,7,ovrkast.,Try Again,Rap,Nathan Smith,February 10 2020,No,https://media.pitchfork.com/photos/5e3d9757ee3f2e0008bc7e72/1:1/w_160/Try%20Again_ovrkast..jpg,/reviews/albums/ovrkast-try-again/
7,8,Hook,Crashed My Car,Rap,Nathan Smith,February 7 2020,No,https://media.pitchfork.com/photos/5e3ad7570ad70b000849fbcc/1:1/w_160/Crashed%20My%20Car_Hook.jpg,/reviews/albums/hook-nedarb-crashed-my-car/
7,9,Obongjayar,Which Way Is Forward? EP,Global,Will Pritchard,February 7 2020,No,https://media.pitchfork.com/photos/5e3d4695ee3f2e0008bc7e05/1:1/w_160/WHICH%20WAY%20IS%20FORWARD.%20BLANK%20LEGS.jpg,/reviews/albums/obongjayar-which-way-is-forward-ep/
7,10,Lil Wayne,Funeral,Rap,Sheldon Pearce,February 4 2020,No,https://media.pitchfork.com/photos/5e3833e3252de30008902889/1:1/w_160/Funeral_Lil%20Wayne.jpg,/reviews/albums/lil-wayne-funeral/
7,11,The Leonard Simpson Duo,LSD,Rap,Dean Van Nguyen,February 4 2020,No,https://media.pitchfork.com/photos/5e28c434fd91bb000807b05d/1:1/w_160/lsd.jpg,/reviews/albums/the-leonard-simpson-duo-lsd/
7,12,J Hus,Big Conspiracy,Rap,Sheldon Pearce,January 29 2020,No,https://media.pitchfork.com/photos/5e29cd9ee540c400084fdeb9/1:1/w_160/bigconspiracy.jpg,/reviews/albums/j-hus-big-conspiracy/
8,1,Big Baby Scumbag,Big Baby Earnhardt,Rap,Nathan Smith,January 28 2020,No,https://media.pitchfork.com/photos/5e29cc61fd91bb000807b0a5/1:1/w_160/bigbaby.jpeg,/reviews/albums/big-baby-scumbag-big-baby-earnhardt/
